fluidcog_age,crystalcog_age,earlychildcog_age,totalcog_age,dccs_age,flanker_age,lswmt_age,orrt_age,pcps_age,picseq_age,pvt_age,EF_age,age_years,fluidcog_unadjusted,crystalcog_unadjusted,earlychildcog_unadjusted,totalcog_unadjusted,dccs_unadjusted,flanker_unadjusted,lswmt_unadjusted,orrt_unadjusted,pcps_unadjusted,picseq_unadjusted,pvt_unadjusted,EF_unadjusted,subject,Subject,Euler_sum,Phase_transition_1,Phase_transition_2,S_entropy_dim0,S_entropy_dim1,bc_AUC_dim0,bc_AUC_dim1,curv_ent_DMN_0.005,curv_ent_DMN_0.01,curv_ent_DMN_0.02,curv_ent_DMN_0.05,curv_ent_DMN_p1high,curv_ent_DMN_p1low,curv_ent_FPN_0.005,curv_ent_FPN_0.01,curv_ent_FPN_0.02,curv_ent_FPN_0.05,curv_ent_FPN_p1high,curv_ent_FPN_p1low,curv_ent_all_0.005,curv_ent_all_0.01,curv_ent_all_0.02,curv_ent_all_0.05,curv_ent_all_p1high,curv_ent_all_p1low,curv_kur_DMN_0.005,curv_kur_DMN_0.01,curv_kur_DMN_0.02,curv_kur_DMN_0.05,curv_kur_DMN_p1high,curv_kur_DMN_p1low,curv_kur_FPN_0.005,curv_kur_FPN_0.01,curv_kur_FPN_0.02,curv_kur_FPN_0.05,curv_kur_FPN_p1high,curv_kur_FPN_p1low,curv_kur_all_0.005,curv_kur_all_0.01,curv_kur_all_0.02,curv_kur_all_0.05,curv_kur_all_p1high,curv_kur_all_p1low,curv_mean_DMN_0.005,curv_mean_DMN_0.01,curv_mean_DMN_0.02,curv_mean_DMN_0.05,curv_mean_DMN_p1high,curv_mean_DMN_p1low,curv_mean_FPN_0.005,curv_mean_FPN_0.01,curv_mean_FPN_0.02,curv_mean_FPN_0.05,curv_mean_FPN_p1high,curv_mean_FPN_p1low,curv_mean_all_0.005,curv_mean_all_0.01,curv_mean_all_0.02,curv_mean_all_0.05,curv_mean_all_p1high,curv_mean_all_p1low,curv_skew_DMN_0.005,curv_skew_DMN_0.01,curv_skew_DMN_0.02,curv_skew_DMN_0.05,curv_skew_DMN_p1high,curv_skew_DMN_p1low,curv_skew_FPN_0.005,curv_skew_FPN_0.01,curv_skew_FPN_0.02,curv_skew_FPN_0.05,curv_skew_FPN_p1high,curv_skew_FPN_p1low,curv_skew_all_0.005,curv_skew_all_0.01,curv_skew_all_0.02,curv_skew_all_0.05,curv_skew_all_p1high,curv_skew_all_p1low,curv_std_DMN_0.005,curv_std_DMN_0.01,curv_std_DMN_0.02,curv_std_DMN_0.05,curv_std_DMN_p1high,curv_std_DMN_p1low,curv_std_FPN_0.005,curv_std_FPN_0.01,curv_std_FPN_0.02,curv_std_FPN_0.05,curv_std_FPN_p1high,curv_std_FPN_p1low,curv_std_all_0.005,curv_std_all_0.01,curv_std_all_0.02,curv_std_all_0.05,curv_std_all_p1high,curv_std_all_p1low,p3cliques_DMN_ent_p1high,p3cliques_DMN_ent_p1low,p3cliques_DMN_ent_p2high,p3cliques_DMN_ent_p2low,p3cliques_DMN_sum_p1high,p3cliques_DMN_sum_p1low,p3cliques_DMN_sum_p2high,p3cliques_DMN_sum_p2low,p3cliques_FPN_ent_p1high,p3cliques_FPN_ent_p1low,p3cliques_FPN_ent_p2high,p3cliques_FPN_ent_p2low,p3cliques_FPN_sum_p1high,p3cliques_FPN_sum_p1low,p3cliques_FPN_sum_p2high,p3cliques_FPN_sum_p2low,p4cliques_DMN_ent_p2high,p4cliques_DMN_ent_p2low,p4cliques_DMN_sum_p2high,p4cliques_DMN_sum_p2low,p4cliques_FPN_ent_p2high,p4cliques_FPN_ent_p2low,p4cliques_FPN_sum_p2high,p4cliques_FPN_sum_p2low,pl_AUC_dim0,pl_AUC_dim1,top_vec_dim0,top_vec_dim1,total_cliques_sum,triangles_sum
104.0,106.0,111.0,106.0,122.0,99.0,89.0,100.0,105.0,100.0,112.0,110.5,36.0,108.0,108.0,112.0,109.0,117.0,106.0,97.0,105.0,111.0,103.0,110.0,111.5,HCA6018857,HCA6018857,1908.0,6.0,66.0,74.27389993884509,148.9118981050774,19099.494949494958,1295.9595959595965,4.021298502139216,3.8438443022224034,4.079758704921636,4.079675356500572,3.906432281089497,4.0750045579477145,3.410263793496205,3.149380011470148,3.4100179303128937,3.6584474914348895,3.2358070887368067,3.453589192673041,5.385330418325252,5.178768783624858,5.450868844245026,5.527895172987638,5.249853665689127,5.434754581991672,26.397329969225694,11.471489593130979,-0.07240284080693149,42.24603631897236,17.15265412335716,26.085480503859635,6.294249229717561,7.063082821622652,4.316925224915735,5.1330924400170375,5.772297942585226,7.790588854751091,60.991157128488254,43.75515016020246,3.1065765633122147,79.85763343548432,45.53550605565663,49.438515046267185,0.3089430894308943,-0.3292682926829269,-1.3018292682926829,-2.1235772357723603,-2.166288828536891e-17,0.3495934959349593,0.15555555555555553,-0.5851851851851851,-1.8685185185185187,-1.737777777777778,-0.2740740740740741,0.25925925925925924,0.14999999999999994,-0.5833333333333334,-1.6194444444444445,-1.7694444444444437,-0.2361111111111111,0.2305555555555556,-4.6070455736614,-2.9392802519081433,-0.6115367216930314,5.620713511361756,-3.6714344121752753,-4.622564100812185,-2.3478156160734525,-2.534079513655505,-1.9582122528633572,2.1028268870300906,-2.3256093076741244,-2.5297988146932195,-6.278928139485992,-5.0551173624735055,-1.5152285565893475,7.406306138040789,-5.264825471643946,-5.72498168911604,1.1411619711757242,1.554121979949142,1.4539941393625178,3.4508413325696505,1.3570053112033669,1.0840709671671482,1.1468690605188148,1.7154426496461388,1.906170040936985,2.2717627897382955,1.4737017955364486,1.0946308671208629,1.4959410102583723,2.0552270758564206,1.926276232386412,4.112730536898325,1.7917958609750744,1.3807288064775922,-30.50043941119371,-29.487362858795517,-53.41807705494882,-50.389378721443904,12.19512195121951,11.904761904761903,18.35674568334797,17.577854671280278,-19.593245640288195,-29.487362858795517,-34.25081674359076,-31.459817260608787,8.943089430894307,11.904761904761903,13.253585016095991,12.46828143021915,-43.149780874342405,-43.657073104250834,15.677966101694913,15.8130081300813,-33.36997758029487,-23.02585092994046,13.007190549563427,10.0,24.31192534010139,1.499343701787195,0.3610846174812484,0.06748252642341572,1015768.0,440101.0
83.0,97.0,81.0,88.0,79.0,80.0,86.0,100.0,104.0,93.0,94.0,79.5,45.0,91.0,103.0,93.0,96.0,93.0,92.0,94.0,104.0,103.0,91.0,102.0,92.5,HCA6030645,HCA6030645,12848.0,6.0,56.0,63.19136373291462,184.157295690482,20408.58585858586,1406.0606060606065,3.920105206723021,3.7907696826384063,3.915200211197989,3.458124905719373,3.7401333287996077,3.942859672445967,3.572740044481315,3.357390195840935,3.3283005153220917,3.4492299962393664,3.465469810466311,3.6036597583432495,5.405680190237033,5.205249339331295,5.404895565637326,5.171565327615099,5.24244440268037,5.448705544124223,42.867207815343754,22.311571398540448,3.8043740800063865,65.31707616650259,31.261673942683142,43.10697682032794,-0.09199056885986943,1.197138971506627,0.15331406036375084,1.5202398579734109,1.2678770475164347,0.2196824534731268,67.58959681494676,35.829867230939776,3.0448420417831463,117.49381027874844,35.97475474516396,66.86086870346531,0.26727642276422764,-0.2957317073170732,-1.0376016260162595,-0.5674796747967125,-0.0640243902439025,0.3363821138211381,-0.05370370370370373,-0.7481481481481482,-1.901851851851852,-0.6248148148148128,-0.4388888888888889,0.05740740740740743,0.18611111111111112,-0.4916666666666666,-1.2861111111111108,-0.6861111111110962,-0.18611111111111112,0.2638888888888889,-6.0184778120425655,-4.02269796269209,-1.5723166054192468,7.9099207274240975,-4.972003058731191,-6.06563732407883,-1.0491662982237,-1.2765672907680263,-1.0225130562187388,1.0509498731686733,-1.355691907056119,-1.107159553896134,-6.916636762241273,-4.768652373222056,-1.390952324621813,9.986133509145894,-4.910056278288299,-6.9183047153396116,1.6241913667044214,1.8175201451853389,1.5957022457264158,7.8175536890056545,1.8248277743143824,1.5252196253259866,1.1932365411236374,1.9065747913056676,2.5402493855948656,3.1604629724574256,1.6825539082956562,1.0820964765844532,1.6095083023422534,2.062377942516302,1.8616728008122037,5.922778663665183,1.8668051370598608,1.5016580342580836,-61.271987631261815,-44.547796363090704,-73.200300080551,-73.53445596367266,20.33898305084746,16.049382716049386,23.261746070928996,23.342293906810035,-35.35015977982655,-31.0284706704901,-43.21638179835254,-38.61499832646813,13.559322033898303,12.345679012345679,15.695712992676704,14.456391875746714,-84.90822560069363,-83.06328152784965,26.046423135464234,25.612472160356344,-38.813373274550685,-35.44549908854522,14.510400811770674,13.585746102449887,24.914409421848262,1.400796877745493,0.3640891795161239,0.058340896414556476,1271490.0,532267.0
99.0,106.0,99.0,103.0,113.0,88.0,109.0,109.0,94.0,94.0,103.0,100.5,60.0,95.0,108.0,97.0,101.0,105.0,94.0,105.0,109.0,90.0,93.0,106.0,99.5,HCA6051047,HCA6051047,-68.0,7.0,56.0,75.59667914453024,241.29537520196416,17768.181818181816,1993.9393939393944,3.841727204247713,3.7541228323498466,3.96949026163378,3.5260700212508436,3.7172126916372425,3.8103501813631664,3.550520730000034,3.419352042346698,3.2315180034214674,3.549166750546969,3.4079186220253166,3.4725319487389017,5.4072409124740695,5.153157763422337,5.333678504012767,5.077010318123554,5.15139138169033,5.350620718939503,57.67023225292403,34.36528547674432,1.0083672986193868,65.8110667742794,43.48800751693521,58.15316724290635,1.7484882528425585,1.4648679549370112,2.138166245171118,3.1560369187853907,2.8571365998131113,1.9545257535566591,47.83066243519689,24.08191440460432,12.834714368055794,47.721814142748,30.527935086910286,46.01436307615366,0.2347560975609756,-0.3119918699186995,-0.9056910569105674,-0.4398664343786109,-0.16361788617886194,0.19817073170731708,0.33703703703703697,-0.16111111111111112,-0.9888888888888892,-0.9426984126984088,-0.046296296296296315,0.2685185185185185,0.2305555555555556,-0.3972222222222223,-1.0555555555555551,-0.3138888888888677,-0.20277777777777786,0.1694444444444444,-7.243244082614722,-5.1453359440395126,-1.0511288684793525,7.932299947866008,-5.983310443357094,-7.280221536654303,-1.4464663411664276,-1.458057216165221,-1.562588928119882,1.154113234274272,-1.8031093106202336,-1.5025903597536552,-6.036407632904153,-4.28437835792356,-2.651503030090292,6.274090348135357,-4.848063205529017,-5.957034640315127,1.9434383403617477,1.8678753969627888,1.3357580075334228,4.242207934988352,1.9327903079005329,1.9550175286289244,0.8039170223817701,1.2917592559407665,1.4654034964498368,1.234802642586095,1.25972213715001,0.8518115932515858,1.5703684595550915,2.049100224097168,1.6835125500491042,4.122238052423434,1.9178458530469504,1.6369197209513686,-113.26077746094464,-104.2781033891757,-70.19878330628978,-64.53897652082371,32.526881720430104,30.50847457627119,22.535167337263346,21.149208346440176,-11.263635106401658,-19.90155187031904,-17.603196587373304,-17.448321408183304,6.182795698924731,9.039548022598868,8.31227971678987,8.262556359442174,-69.45665790402897,-60.129541984887005,22.35464815006737,20.053763440860216,-12.064576967116857,-12.6994103449049,6.464400456005802,6.684587813620072,23.689182158418287,1.6803143426112257,0.34062225010307035,0.05244815859113328,2255122.0,701519.0
113.0,132.0,118.0,126.0,95.0,90.0,123.0,116.0,113.0,124.0,142.0,92.5,40.0,117.0,124.0,120.0,123.0,104.0,101.0,120.0,112.0,115.0,125.0,132.0,102.5,HCA6086470,HCA6086470,-1589.0,7.0,60.0,87.7455983382346,130.56076546707786,16435.85858585859,1132.3232323232326,4.175010229320538,3.9777738109771006,3.896128742321536,4.04543813887385,4.110214906638279,4.112964954456366,3.335430164517664,3.2344985693734114,3.213138522943814,3.279808770550781,3.2292886958169973,3.2396066972119772,5.2554940006612645,5.095226636748173,5.285993678638752,4.804478360948151,5.135380551865479,5.220407488992638,1.723900232565429,1.8517142890209424,2.448158816646933,2.644885885287013,2.7800979381729083,2.96576899474789,17.11769396690926,9.68271491870544,2.806513402966627,10.873122003404927,11.390884026229978,14.418368170795693,117.91386114888229,73.04956403473733,24.028037125911986,190.4570374990181,81.7968577147241,113.86258233346076,0.3729674796747967,-0.2682926829268293,-0.9867886178861792,-0.9837398373983718,-0.053861788617886194,0.3038617886178861,0.25555555555555554,-0.2166666666666667,-0.8551851851851852,-0.8299470899470961,-0.13148148148148153,0.15185185185185185,0.2416666666666667,-0.2916666666666666,-0.8666666666666687,-0.4916666666666864,-0.15555555555555567,0.18333333333333335,-1.5205093728055563,-1.4785465240068247,-1.508205705002173,0.3781157006906184,-1.602206495845199,-1.7445073711214842,-3.9132302404494537,-2.9283938840058195,-1.6901677830118067,1.2134236867221806,-3.1731685985264737,-3.629088033210399,-10.148547322045856,-7.292194436485981,-0.18941292104151494,13.208042171762777,-8.008885443386315,-9.876828660135796,0.7578882381975953,1.2194105648709208,1.637293477336106,1.3300008548038031,1.1116051371317126,0.8598792171930232,1.3116759611887738,1.7014336728799857,1.5279851262212472,2.1722192058767007,1.7202936234525872,1.4490619452811542,2.0280650481447022,2.150904202629416,1.839747198146088,6.327337713321505,2.168409199572379,2.071361900648167,-50.92259723970323,-48.94897918407943,-54.465136239538964,-50.42650144659931,17.715617715617718,17.204301075268816,18.624040638286125,17.58745476477684,-10.271498204710227,-4.987814854468507,-27.20105213986485,-25.022079437584114,5.827505827505827,3.7634408602150535,11.241786759427976,10.599115400080416,-44.34728059668178,-38.420814500013535,15.996252070077574,14.40347071583514,-25.984152699419948,-24.504206397286996,10.884249978209713,10.44468546637744,23.035338363996292,2.497482938571042,0.3484713217376356,0.06877393040555202,2228733.0,713137.0
110.0,96.0,114.0,103.0,102.0,102.0,95.0,100.0,90.0,144.0,93.0,102.0,53.0,105.0,104.0,111.0,105.0,102.0,103.0,97.0,106.0,92.0,129.0,102.0,102.5,HCA6108151,HCA6108151,12800.0,6.0,55.0,89.18385813603103,101.32832163051437,16128.787878787882,889.8989898989902,4.067411005444127,3.8207029526709713,3.9141810961303767,3.897552289743463,3.948520134929981,4.068961079504296,3.309637674030516,3.1411284357315323,3.3072675105402034,3.359913107575531,3.1998954223764757,3.388008059597218,5.400993150109629,5.226957771446359,5.391218282244347,5.210666808809559,5.300602194304748,5.442000385151691,13.251116761536515,4.938181158121334,4.528939341636426,19.876423281248478,9.186915728317576,13.458402944136227,7.274666066686772,4.482982011718733,3.1864331982596736,5.003631169859263,5.679447270856874,8.275904789463707,53.510149458964754,30.619646833227588,4.655976440345162,109.79065246052186,34.907294834197984,50.01771315589714,0.27235772357723576,-0.4166666666666667,-1.1884146341463415,-0.6184959349593616,-0.04471544715447154,0.3475609756097561,-0.011111111111111129,-0.8629629629629628,-2.044814814814815,-1.2225925925925905,-0.5259259259259259,0.1222222222222222,0.14166666666666666,-0.575,-1.4555555555555555,-0.5999999999999999,-0.2388888888888889,0.225,-3.2486381419328216,-2.0692736965432856,-1.9410813425018587,4.116513663520962,-2.716871443370645,-3.3328114440786534,-2.6735113448264367,-2.144863080929221,-1.633844610243981,0.9233068109535068,-2.4104806707089925,-2.808090837395199,-5.995333922309482,-4.270654079971656,-1.8899927057034764,8.941136199427246,-4.738290296834507,-5.811849372709081,1.1601187314020198,1.563526085851532,1.7622561316695655,4.368321853259967,1.4415083517773215,1.0979166090502122,1.6350331291240965,2.236147726101575,2.5645561843127105,3.3464780741379334,2.1005453599786525,1.4767331311854357,1.5711004046468453,2.021510482196328,2.0345893964988804,5.40683680715999,1.852850656570992,1.4346328088735096,-55.16995854706865,-80.47189562170502,-71.7296502439724,-68.82671687905214,18.803418803418804,25.0,22.90644231518268,22.2011385199241,-26.754951207243014,-17.668862801667427,-31.29377062043157,-30.32231008189937,11.111111111111109,8.333333333333332,12.421126431409206,12.144212523719164,-76.73524800461733,-71.58399006131596,24.110506488070325,22.87117903930131,-29.610430904860788,-26.837654664740143,11.940142318961911,11.135371179039304,23.481839569824597,2.249839178582358,0.3497844475342406,0.06609234650789297,1444880.0,580949.0
91.0,98.0,93.0,93.0,93.0,88.0,89.0,95.0,99.0,100.0,101.0,90.5,38.0,101.0,104.0,104.0,102.0,103.0,100.0,97.0,103.0,103.0,106.0,105.0,101.5,HCA6110138,HCA6110138,16957.0,6.0,58.0,66.23782796038675,132.2474496039773,20089.898989898997,1129.2929292929296,3.7904313929146816,3.63688762862004,3.9748455892710415,3.816748642006607,3.689732204614913,3.8916484365948216,3.4728178953159934,3.26879395741234,3.3289398145072937,3.318919187498882,3.4034035895692885,3.5022513873789656,5.433156714709252,5.2529391230824345,5.3836685155490205,5.450371519965713,5.341226713651436,5.478951216956311,32.840066205497905,26.16070625912659,1.2198466830888943,52.465248697660606,29.875417476202113,31.691680677412986,0.5880916041798905,0.8271424277598811,0.9262747970942212,12.842094426149256,1.01909029599972,0.629829666241497,32.74961961096181,21.65760607568693,2.132186944712304,73.44260173531191,26.52500234206483,32.01782023423167,-0.008130081300813023,-0.9207317073170732,-1.9969512195121961,-0.6703252032520235,-0.4918699186991871,0.1056910569105691,-0.037037037037037035,-0.8555555555555555,-2.207407407407408,-0.4814814814814779,-0.4555555555555556,0.1,0.13333333333333333,-0.6611111111111111,-1.7916666666666674,-1.2111111111111097,-0.275,0.21944444444444444,-5.072594871162203,-4.489171970490487,-1.2290841310450435,6.796835819626219,-4.810693901387448,-4.998852107956883,-1.168059495468608,-1.2634412200608056,-1.2992367017992186,3.4766669463451985,-1.2793909152144525,-1.0831139653173347,-4.417105572963914,-3.4926975086491736,-1.4680291377699244,7.168491762607426,-3.859764867684266,-4.4386242399200935,1.8184731152490912,2.595627134896688,2.2385452593993445,6.249418414344651,2.194613762313242,1.691384231924054,1.1652843074317856,1.8624290524228413,2.4913196353292832,4.651671971044438,1.5656024754423172,0.9977753031397176,1.3288001642621852,1.9731531449264992,2.2524078337154485,4.201969519107242,1.6396867172921166,1.2443049276951448,-116.8852632439994,-132.0684961612246,-91.3330447472608,-97.82913989773029,33.333333333333336,36.66666666666667,27.544711398813227,29.040650406504067,-28.219453115015998,-23.02585092994046,-44.11358676225277,-45.90011294554483,11.53846153846154,10.0,15.934271131582225,16.40650406504065,-105.79358061428968,-126.87649316886444,30.851063829787236,35.53459119496856,-43.95800673865535,-36.35269535646281,15.892972275951,13.836477987421384,25.07783655237249,1.7347470373189842,0.3650127249390225,0.0731507412233694,1111069.0,495842.0
124.0,109.0,123.0,119.0,111.0,98.0,108.0,114.0,111.0,146.0,103.0,104.5,57.0,113.0,110.0,114.0,113.0,106.0,101.0,105.0,113.0,107.0,131.0,107.0,103.5,HCA6117051,HCA6117051,8467.0,6.0,55.0,84.26990460059191,129.3960197943813,18392.424242424247,1102.0202020202023,4.072653350728808,3.776154198802816,3.8127383794680942,3.9614007101229616,3.640877878221063,4.103211143626618,2.646565580912737,2.6545818165615245,3.27064325464459,2.107834972436142,2.752332515164289,2.705362782578236,5.348313047377913,5.1614944268136815,5.359590548914598,5.126631804631902,5.20953795649562,5.404515662760632,4.1458606566744844,3.314673892786404,4.7075477685731935,8.684429134651923,5.136336079511484,4.767255605610786,37.65490792770597,33.32260883297797,4.895431451392517,38.469494666949906,34.59404590353398,38.08510498862661,95.46065435097864,39.48346725745992,6.275978993872041,141.13528151198304,45.925826010814454,98.24176487797592,0.0589430894308943,-0.8160569105691058,-1.7794715447154474,-0.560365853658543,-0.4410569105691057,0.13211382113821138,-0.00740740740740746,-0.6296296296296295,-0.9833333333333304,0.9477777777778098,-0.3370370370370371,0.06666666666666668,0.15,-0.5444444444444444,-1.4583333333333326,-0.4750000000000005,-0.21666666666666667,0.2333333333333333,-2.0495858855596354,-1.8391600127271248,-2.0084804663173186,2.6549428182035517,-2.2784092052569496,-2.18261535782401,-6.209231166515133,-5.700990947889168,-1.9191753308158823,6.300887538361605,-5.853642868969151,-6.257633524079988,-7.97170524169092,-4.883624364494156,-2.142437385195539,10.360200027960731,-5.389748471610036,-8.104874671622111,1.2486773357845926,1.9020179789962928,2.3690061990508844,3.5552488394759885,1.7617918537831252,1.2397924155507705,3.46480640179512,3.597476634313379,1.4664562138572328,13.952597704945662,3.300297197408265,3.289039035611736,1.6784858697096068,2.1340204333315422,2.1056123563138893,6.222141616541427,1.9104892399075344,1.5863129857909155,-94.90183687159886,-126.972317100713,-81.71685940185077,-80.58849122400319,28.368794326241137,35.555555555555564,25.29468366610536,25.027633033317546,-76.74766516857224,-59.914645471079815,-35.64012441935622,-42.03367751670973,24.113475177304963,20.0,13.639643974019728,15.379756829306807,-82.30830729267028,-79.38308684433474,25.43439518823791,24.74160206718345,-45.49962283148618,-48.86886428972555,16.300957897081755,17.183462532299746,25.97110863197718,2.1696468719828568,0.3705172349943113,0.06504797857362793,1406803.0,565999.0
119.0,127.0,116.0,127.0,124.0,93.0,131.0,130.0,105.0,111.0,119.0,108.5,47.0,114.0,120.0,114.0,120.0,113.0,99.0,124.0,118.0,107.0,111.0,119.0,106.0,HCA6119257,HCA6119257,4392.0,6.0,62.0,71.54115405135705,111.74275500477705,20567.676767676767,897.9797979797981,4.068042968170269,3.770984758072357,3.7873892755791614,3.991126342299121,3.7725621607097306,4.105798072909539,2.895348151392989,2.822024713285877,3.3994171115937384,2.905338880378629,2.81942191539889,2.976989815044289,5.444562333189453,5.2759681565460514,5.363260533201585,5.355551060369084,5.320003682120486,5.477908440840551,14.182738069673755,18.723875294613684,4.343821300560254,24.51804445099143,15.975592672773313,14.803815325528696,27.808816465454093,24.178383077810693,1.0010728448525148,37.36374457822543,28.350870978354763,25.757923017063817,41.7637479067314,20.792393867253327,7.56607510774592,102.26662778214155,35.6453022201382,36.860653872858855,0.31910569105691056,-0.3790650406504065,-1.2012195121951221,-1.2611788617886166,-0.06097560975609756,0.4065040650406504,-0.2740740740740741,-0.8148148148148148,-1.3566666666666636,-0.6451851851851673,-0.6074074074074075,-0.16296296296296295,0.15277777777777773,-0.5388888888888889,-1.4583333333333333,-1.1388888888888853,-0.21944444444444444,0.2333333333333333,-3.5394102547757105,-3.8034391718116987,-1.841127618310554,4.123199967286428,-3.6839480761119483,-3.667788464639365,-5.075181856529382,-4.603555898752808,-0.6130109285291911,6.173160428839529,-5.115517441933782,-4.857264189121473,-5.243875447970793,-3.7083968288067037,-2.0748314069379736,8.709050394129628,-4.801444063727986,-4.990162342907817,1.2450991241414484,1.9503557645301124,1.9530373476597145,2.6749111056805304,1.719195035041344,1.1698845173173351,2.497444510080812,2.669320952681129,1.7587011200399167,9.683246077392544,2.9345547868428303,2.2551693399198824,1.4735188210706311,1.9769192893345973,2.11640418320005,4.707164718953262,1.8148032407038333,1.3683593853251446,-40.22665773049664,-42.69094425980354,-58.80978858612279,-56.16355724552962,14.893617021276595,15.555555555555555,19.723008491710477,19.055555555555557,-79.72449822587008,-78.13429479817233,-38.873979723037685,-45.74887174503304,24.822695035460995,24.444444444444446,14.526890416498182,16.366666666666667,-52.261790898299644,-50.97172943725903,18.06040502793297,17.728297632468998,-49.20336688842183,-67.47751661464679,17.27042597765363,21.87147688838782,26.120527386033093,1.3433407509305746,0.38115055132000497,0.0545332386765105,1315134.0,539643.0
98.0,109.0,99.0,104.0,102.0,86.0,112.0,108.0,94.0,99.0,110.0,94.0,82.0,83.0,113.0,91.0,97.0,95.0,83.0,97.0,111.0,80.0,88.0,113.0,89.0,HCA6120646,HCA6120646,14383.0,6.0,53.0,82.78350638710972,186.69751761220638,15910.60606060606,1725.2525252525256,3.973517514135284,3.6531420493264664,3.966956757115513,3.893349101473484,3.791220011847179,3.983991073041381,3.2401876420250715,2.9162627281504485,3.3424481533781947,2.9854564565742656,3.0727829074803616,3.304967423617065,5.471558250625818,5.198919814947473,5.382325998098841,5.308821544207341,5.348282277742286,5.507270767956773,17.572901262584928,16.386868748520154,1.2326068995440291,21.113339505955764,17.710402396039775,18.874727381952148,20.23535942612436,19.67878617351226,8.431394806404297,28.799750109564386,20.906471655514785,20.194360832671816,23.473190230010694,17.68866691010077,3.8124710986005117,44.2879893882034,18.544359941480252,22.34499052441463,0.1971544715447154,-0.5772357723577236,-1.4827235772357727,-0.4363821138211425,-0.201219512195122,0.274390243902439,-0.1111111111111111,-0.8703703703703705,-1.6444444444444442,0.4622222222222465,-0.4555555555555556,-0.011111111111111113,0.13333333333333333,-0.6083333333333334,-1.4916666666666667,-0.3444444444444414,-0.23333333333333334,0.21666666666666665,-3.728068919004748,-3.5651831063727477,-1.2254544563617196,4.058767612855822,-3.6901484577737738,-3.917862970568922,-4.231590402256336,-4.13870110504407,-2.396669089349052,5.229563064017338,-4.269390548077712,-4.210693006198893,-3.9581118565351456,-3.378442543092105,-1.6799173267611505,5.381576918349283,-3.4517160976482946,-3.9215661960291017,1.359531256095697,2.0538474573384784,1.831472531494141,3.8526757745281888,1.7400000398868578,1.281875941349439,2.2492797201013617,3.031346294413251,2.169115425327813,7.526721451101526,2.5196511614325985,2.0025909143832568,1.4406895639772943,2.0838499359492166,2.07561719216118,4.300749288722227,1.7397051687208596,1.32490390986304,-57.971505579777926,-68.91317309359593,-70.97578772122961,-73.99233283021209,19.512195121951216,22.222222222222218,22.723794950267788,23.452555936632372,-57.97150557977794,-68.91317309359593,-43.2870153641751,-46.23712277950183,19.51219512195122,22.222222222222218,15.714528606647965,16.495182100277646,-68.69032863864483,-76.1370732052647,22.16786817713697,23.96739130434783,-52.49084506260707,-57.31948389023938,18.119207003089603,19.347826086956527,21.766935678466602,2.5074787981895392,0.32173611383960565,0.05473897078391304,1443605.0,589966.0
111.0,103.0,98.0,108.0,94.0,72.0,112.0,95.0,142.0,118.0,111.0,83.0,39.0,116.0,107.0,108.0,113.0,103.0,92.0,113.0,103.0,134.0,119.0,112.0,97.5,HCA6139970,HCA6139970,12039.0,6.0,61.0,86.09211140758283,163.31127286823462,17658.08080808081,1534.3434343434344,3.9919151635809538,3.8347604438859437,3.85605777355034,4.018981113278441,3.8862218266262336,4.064112869786301,3.659277315487432,3.5071597544734683,3.2331496313365684,3.627327166292477,3.5652072170831337,3.666437232670458,5.526746602380194,5.305086081166111,5.361848393166572,5.516488735286952,5.387635430023667,5.567399196937503,6.292111459391933,4.062424795744101,3.987510336548872,5.65140760415737,4.539679769413931,6.121027640577752,2.0640724714400083,0.47975684052575,-0.2294450443575875,0.3892345888334381,3.2437611483673328,1.3329946457080206,7.913222591545781,6.401087820369692,2.1794128631696177,18.66287609378599,7.155025574422148,7.0869943792705055,0.19918699186991867,-0.5894308943089432,-1.8353658536585369,-0.8689024390243849,-0.2378048780487806,0.2804878048780488,0.5740740740740741,0.1185185185185185,-1.1333333333333333,-2.2196296296296296,0.3481481481481481,0.6185185185185185,0.12777777777777774,-0.65,-1.8527777777777776,-1.3222222222222215,-0.2916666666666667,0.20555555555555555,-2.4265443136629394,-1.933866620510127,-1.8210100295927136,2.287986696082791,-2.0370738223345923,-2.436404064190054,-1.5392722821601938,-1.1318462903000464,-0.9252500774254052,-0.4326248496619536,-1.7424660163242698,-1.4233556050520246,-2.4574511312690173,-2.2154485145236107,-1.4622693123336417,3.5937871618967328,-2.350379726117787,-2.3931100628739403,1.1647600635686508,1.8588751300960065,2.5137149413826747,4.331113222866569,1.5246463199548328,1.1067292471716133,0.5381215103906647,0.8169668550496141,1.3331481352862795,1.4156196082180657,0.754265419949197,0.5159459994499643,1.2227397894043497,1.8974560617239176,2.363276784571335,3.953187883777404,1.6407592905062938,1.1447140998390692,-80.47189562170502,-59.914645471079815,-73.7842456031018,-79.34528892005466,25.0,20.0,23.402461642218853,24.732620320855624,-4.013242681086454,-12.647466565905876,-16.51983673336296,-12.22732408210601,3.333333333333333,6.666666666666668,7.962400944191535,6.52109328579917,-72.99819552351994,-93.28550105034952,23.212996389891696,27.99625468164794,-11.160505389716068,-6.989599790669504,6.14620938628159,4.5880149812734095,24.922224308699988,1.7007169672293898,0.3620396130086877,0.06572236042352493,995593.0,444413.0
